layer,strip,end,multiplier,mpv,eta,sigma,A,chi_square
6,3,1,19,693.5621329833988,56.72094142152624,105.76019514407218,3573.0680957622276,583.2559725012243
6,4,1,19,690.6509275136988,47.85155223079355,121.67512818994615,2762.432147465072,234.6815335263139
6,5,1,19,664.643512719571,47.93570206038704,118.09323682312069,1640.2684127896557,549.9490122753318
6,6,1,25,574.8615610546714,53.30911944883735,87.93959634675514,689.0491424586959,134.77160547714135
6,7,1,18,622.0022323869165,42.21091312244257,112.86992870057583,452.379073043931,318.1156073666227
7,0,1,18,687.8310633663338,64.80633588594777,106.32172538432525,717.7033809248827,304.7822205960724
7,1,1,17,602.2876568330971,44.912420126830476,139.53134129319255,1301.1364441730263,96.33364862505587
7,2,1,9,611.1615791999833,40.33619735410567,117.86594820458751,3339.7374275683715,586.0674940568149
7,3,1,18,694.5965265968191,56.63622946931224,117.48588998781563,3675.045849750548,612.410078255692
7,4,1,10,467.8625152786341,67.75162059165581,88.46966628246342,2599.729888226837,323.8395111451327
7,5,1,15,516.2658820692966,60.782574456370945,112.76604206677516,1055.341672343126,40.519546675726986
7,6,1,17,616.6632630288226,40.8609654003222,151.47484868972856,433.0263127291415,131.55413092370927
7,7,1,13,507.2292780188267,54.387477316174234,144.62201746063215,268.2730290116931,165.3944490801821
8,0,1,14,606.0559557823562,54.25100392130249,142.91918299083295,661.6973585784846,139.7595623400943
8,1,1,12,488.54348606105145,63.69804345915459,97.8768609711406,1126.3927510263875,160.67049272255483
8,2,1,12,593.1075682240233,49.29882978534165,118.07609256171148,2853.2025114686853,319.07652969801285
8,3,1,16,677.7448982168784,47.491180585918485,129.6565923250352,3268.591135708117,439.0968159800541
8,4,1,10,652.0654134253527,46.64472176638394,124.63507042042774,2661.3982545641525,323.0849686283908
8,5,1,16,663.9894954710152,49.0037414529849,134.22922321150205,1488.5164286036868,333.3307760536752
8,6,1,15,681.2415005654983,41.17319439780423,172.7856630880716,504.1958412568262,228.743792476446
8,7,1,14,593.894138404588,50.69330537643201,154.17164980150534,361.2629090763639,180.28966028175734
9,0,1,16,654.6253048179635,48.76979150314733,118.68546364368602,725.9126253007449,267.27491644112104
9,1,1,17,617.5703824152914,54.90979288003019,100.26188109034312,1457.6611100371697,299.3209710027129
9,2,1,10,579.0723520755087,40.73647087367484,113.21425011673928,3366.899125527279,1094.53658751801
9,3,1,10,569.0032657559801,48.52920001158902,98.07430516629319,4237.05220910864,334.21279186989966
9,4,1,21,612.0893415678971,50.18563087531136,109.8749385013262,2597.5456732273506,198.24800367435947
9,5,1,17,524.3380980847387,57.22700687920009,90.0201340705158,1213.9052858806808,191.07602321124912
9,6,1,16,608.2224462073468,48.67489182428387,119.15296477529391,485.99384565201063,157.19618454685707
9,7,1,14,587.4701721716459,46.99818822019807,123.37652530493088,300.6100038075882,80.36349359163033
10,0,1,22,651.5010173265164,55.53745705860484,109.2979549267281,138.02603134171721,60.91613501812365
10,1,1,12,604.5145295799334,54.218222431686826,119.23240617429413,420.6864835829877,267.5448156940874
10,2,1,14,630.0735492150357,51.10539327760801,121.44907105435796,734.2594886729152,322.1575116483654
