layer,strip,end,pedestal,std_dev,pedestal_per_time_sample,new_range,new_range2,new_range3
14,0,1,867.4241513333255,9.987023981095954,109,1040.9089815999905,917.3592712388053,967.2943911442851
14,1,0,780.5890627441083,11.229219941322778,95,936.70687529293,836.7351624507222,892.8812621573361
14,1,1,811.7950908817786,10.549259457630372,101,974.1541090581344,864.5413881699304,917.2876854580824
14,2,0,759.5480674055699,10.96551895720216,95,911.457680886684,814.3756621915807,869.2032569775915
14,2,1,732.2847139906884,10.312197647259444,91,878.741656788826,783.8457022269856,835.4066904632828
14,3,0,786.0069681780208,11.524734009413052,99,943.2083618136248,843.630638225086,901.2543082721513
14,3,1,754.3042517910939,10.51894496768214,95,905.1651021493126,806.8989766295045,859.4937014679152
14,4,0,835.0034103718382,15.303684233854913,105,1002.0040924462056,911.5218315411128,988.0402527103873
14,4,1,812.1457132396753,13.195432597853909,101,974.5748558876104,878.1228762289448,944.1000392182143
14,5,0,727.2636967832593,13.691905592340945,91,872.7164361399111,795.723224744964,864.1827527066688
14,5,1,819.3075392304304,13.339819892350985,103,983.1690470765164,886.0066386921853,952.7057381539403
14,6,0,755.2261962951156,14.653378396520962,95,906.2714355541387,828.4930882777204,901.7599802603253
14,6,1,837.0340151949642,15.172180946456422,105,1004.4408182339572,912.8949199272463,988.7558246595285
14,7,0,811.1633118512195,12.496180290591388,101,973.3959742214632,873.6442133041764,936.1251147571334
14,7,1,850.0398118223519,11.609647425772426,107,1020.0477741868224,908.088048951214,966.1362860800762
14,8,0,802.7722012616582,12.709990002563408,101,963.3266415139898,866.3221512744752,929.8721012872923
14,8,1,822.8664078818686,11.110320346976506,103,987.4396894582422,878.4180096167511,933.9696113516336
14,9,0,740.4485757424447,11.2968966444231,93,888.5382908909337,796.9330589645602,853.4175421866757
14,9,1,725.6785094393457,10.208193810839424,91,870.8142113272148,776.7194784935429,827.7604475477399
14,10,0,829.4145525048766,10.393847523096406,103,995.297463005852,881.3837901203586,933.3530277358407
14,10,1,755.3347378718589,8.263142389391337,95,906.4016854462308,796.6504498188156,837.9661617657723
14,11,0,853.0523902581303,9.82135797036454,107,1023.6628683097564,902.159180109953,951.2659699617757
14,11,1,732.9788065639566,9.000575239881632,91,879.5745678767479,777.9816827633648,822.9845589627729
15,0,0,746.2296993825821,8.739399460180229,93,895.4756392590986,789.9266966834832,833.6236939843844
15,0,1,787.7980601767421,31.459074277461507,95,945.3576722120904,945.0934315640496,1102.388802951357
15,1,0,824.8420404846689,10.39664395122502,103,989.8104485816028,876.825260240794,928.8084799969191
15,1,1,741.49883785544,9.178768084449748,93,889.798605426528,787.3926782776888,833.2865186999375
15,2,0,751.5500871345528,9.875615638836708,95,901.8601045614632,800.9281653287363,850.3062435229199
15,2,1,841.4157542301107,12.453067229423484,105,1009.6989050761327,903.6810903772281,965.9464265243455
15,3,0,724.4526117549935,11.865078018890753,91,869.3431341059922,783.7780018494473,843.1033919439011
15,3,1,856.0408279100367,11.714268490589948,107,1027.248993492044,914.6121703629864,973.1835128159362
15,4,0,850.9660652319661,13.440708922187351,107,1021.1592782783594,918.1696098429029,985.3731544538397
15,4,1,735.9851042188744,13.21814873109813,91,883.1821250626493,802.0758478743651,868.1665915298557
15,5,0,769.4928003991549,13.287105127037345,95,923.391360478986,835.9283260343417,902.3638516695283
15,5,1,806.641046823368,14.800988071232627,101,967.9692561880416,880.6459871795312,954.6509275356943
15,6,0,745.9659251621533,12.123989427634914,93,895.159110194584,806.5858723003279,867.2058194385024
15,6,1,839.1188263649916,13.852168071820648,103,1006.9425916379898,908.3796667240948,977.6405070831981
15,7,0,742.9344414593115,10.351668943078929,93,891.5213297511738,794.6927861747062,846.4511308901008
